bedrooms,can_instant_book,counter,guests,host_id,latitude,listing_id,longitude,page,rate,reviews_count,room_type,star_rating
3,False,1,4,20863548,34.76827873753008,8814541,-92.31180018699584,1,110,28,Entire home/apt,5.0
1,False,2,4,79349447,34.73016357915095,13667154,-92.28439194019771,1,100,0,Entire home/apt,0.0
2,False,3,4,29093043,34.754241498840194,8983537,-92.33008950409177,1,100,15,Entire home/apt,5.0
2,False,4,4,387441,34.73251349534494,2789491,-92.27248328521516,1,125,42,Entire home/apt,5.0
1,False,5,4,51077728,34.76420745158592,9937936,-92.3053608190889,1,70,18,Entire home/apt,5.0
3,False,6,4,24556386,34.762287450403626,4759045,-92.34813805756538,1,129,18,Entire home/apt,4.5
1,False,7,4,42635680,34.72935448484264,8071663,-92.29398413936109,1,110,25,Entire home/apt,5.0
3,False,8,4,66887438,34.79654361625928,12674364,-92.44825420911747,1,249,2,Entire home/apt,0.0
1,True,9,4,83071533,34.72356631232536,14046571,-92.40864692222432,1,125,0,Entire home/apt,0.0
3,False,10,4,49966145,34.758710245580325,11081395,-92.32253292083189,1,280,8,Entire home/apt,5.0
2,True,11,4,72694250,34.767898451259285,13093361,-92.35253398918769,1,140,0,Entire home/apt,0.0
2,False,12,4,79349447,34.730083637416705,13725286,-92.28331645689377,1,50,0,Entire home/apt,0.0
3,True,13,4,82305623,34.735463199229116,13928704,-92.34596521960587,1,500,0,Entire home/apt,0.0
2,False,14,4,18512443,34.743112441733885,3655905,-92.27270577302089,1,150,25,Entire home/apt,4.5
2,False,15,4,29093043,34.75632629995232,9489168,-92.32091841960525,1,95,5,Entire home/apt,5.0
2,False,16,4,8724183,34.7576039777162,3432919,-92.32580031194126,1,90,3,Entire home/apt,5.0
2,False,17,4,29093043,34.75430914827237,5612313,-92.32287141949645,1,95,15,Entire home/apt,5.0
2,False,18,4,714478,34.76345385100398,280722,-92.33759233686726,1,175,2,Entire home/apt,0.0
3,False,1,4,56828156,34.83363951167507,10956430,-92.40758815192166,2,145,7,Entire home/apt,5.0
5,False,2,4,1614656,34.839181410156655,3562849,-92.19624231580137,2,299,7,Entire home/apt,5.0
3,False,3,4,45658890,34.849882494881335,8696986,-92.18298902831216,2,135,0,Entire home/apt,0.0
3,False,4,4,71294731,34.62515754596654,12967345,-92.5072691787231,2,95,12,Entire home/apt,4.5
2,False,5,4,3597057,35.006245490292045,5369862,-92.05163227775601,2,175,13,Entire home/apt,5.0
5,False,6,4,55923520,34.7802653394462,10803844,-92.56243122330586,2,360,3,Entire home/apt,5.0
3,False,7,4,67037013,34.62538317987125,13844749,-92.46503992342122,2,85,0,Entire home/apt,0.0
4,False,8,4,42861414,34.881001922490725,8117049,-92.14983872406401,2,210,2,Entire home/apt,0.0
2,True,9,4,17939219,34.94046618661709,13636950,-92.01688128381204,2,100,0,Entire home/apt,0.0
3,False,10,4,45070997,34.87081455600708,12047868,-92.11702564946769,2,97,4,Entire home/apt,5.0
0,False,11,4,81294786,34.95070552925182,14009975,-92.56928772941718,2,20,0,Entire home/apt,0.0
2,False,12,4,48618586,34.88371463967299,11906633,-92.12148779195131,2,109,1,Entire home/apt,0.0
2,False,13,4,3597057,35.00079077065218,11719492,-92.05544296338184,2,175,2,Entire home/apt,0.0
2,False,14,4,48618586,34.88303840532312,11906574,-92.12123925305318,2,120,0,Entire home/apt,0.0
6,False,15,4,55923520,34.77957710720375,10804657,-92.56290300231915,2,460,0,Entire home/apt,0.0
