Date,Value
2016-04-30,4.9455
2016-02-29,5.2856
2016-01-31,5.3858
2015-12-31,5.2605
2015-11-30,5.0977
2015-10-31,4.9975
2015-09-30,4.9994
2015-08-31,4.8886
2015-07-31,4.9816
2015-06-30,4.9056
2015-05-31,4.6641
2015-04-30,4.8802
2015-03-31,4.9056
2015-02-28,4.7028
2015-01-31,4.6394
2014-12-31,4.7535
2014-11-30,4.7915
2014-10-31,4.9689
2014-09-30,4.9689
2014-08-31,5.007
2014-07-31,5.1211
2014-06-30,5.1464
2014-05-31,5.1971
2014-04-30,5.1591
2014-03-31,5.1844
2014-02-28,5.3492
2014-01-31,5.3112
2013-12-31,5.2858
2013-11-30,5.514
2013-10-31,5.552
2013-09-30,5.5774
2013-08-31,5.5774
2013-07-31,5.5394
2013-06-30,5.4633
2013-05-31,5.5267
2013-04-30,5.6161
2013-03-31,5.5401
2013-02-28,5.5041
2013-01-31,5.4914
2012-12-31,5.5056
2012-11-30,5.1545
2012-10-31,5.0918
2012-09-30,4.9911
2012-08-31,4.9664
2012-07-31,4.9423
2012-06-30,4.8536
2012-05-31,4.7522
2012-04-30,4.5241
2012-03-31,4.3247
2012-02-29,4.2359
2012-01-31,4.1725
2011-12-31,4.1725
2011-11-30,4.4015
2011-10-31,4.281
2011-09-30,4.2937
2011-08-31,4.3826
2011-07-31,4.2683
2011-06-30,4.3191
2011-05-31,4.3213
2011-04-30,4.3467
2011-03-31,4.423
2011-02-28,4.4484
2011-01-31,4.5634
2010-12-31,4.4744
2010-11-30,4.4114
2010-10-31,4.3097
2010-09-30,4.1831
2010-08-31,4.0676
2010-07-31,3.9914
2010-06-30,3.8953
2010-05-31,3.9464
2010-04-30,3.8393
2010-03-31,3.648
2010-02-28,3.5459
2010-01-31,3.432
2009-12-31,3.3299
2009-11-30,3.062
2009-10-31,3.0241
2009-09-30,2.9017
2009-08-31,2.8641
2009-07-31,2.8513
2009-06-30,2.9536
2009-05-31,2.9152
2009-04-30,2.8513
2009-03-31,2.8641
2009-02-28,2.9664
2009-01-31,3.0175
2008-12-31,3.0814
2008-11-30,3.2732
2008-10-31,3.3883
2008-09-30,3.5162
2008-08-31,3.5162
2008-07-31,3.5929
2008-06-30,3.6952
2008-05-31,3.7591
2008-04-30,4.0915
2008-03-31,4.245
2008-02-29,4.424
2008-01-31,4.4623
2007-12-31,4.4751
2007-11-30,4.4623
2007-10-31,4.4368
2007-09-30,4.3856
2007-08-31,4.3345
2007-07-31,4.3473
2007-06-30,4.245
2007-05-31,4.1811
2007-04-30,3.9253
2007-03-31,3.9125
2007-02-28,3.823
2007-01-31,3.887
2006-12-31,3.8486
2006-11-30,3.8614
2006-10-31,3.9509
2006-09-30,4.0532
2006-08-31,4.1811
2006-07-31,4.3345
2006-06-30,4.6158
2006-05-31,4.6925
2006-04-30,4.8843
2006-03-31,4.8971
2006-02-28,4.9866
2006-01-31,5.0633
2005-12-31,5.2295
2005-11-30,5.2807
2005-10-31,5.2934
2005-09-30,5.3318
2005-08-31,5.4852
2005-07-31,5.3702
2005-06-30,5.4341
2005-05-31,5.7154
2005-04-30,5.5747
2005-03-31,5.7282
2005-02-28,5.8688
2005-01-31,5.8305
2004-12-31,5.8305
2004-11-30,5.9327
2004-10-31,5.8688
2004-09-30,5.8944
2004-08-31,5.6131
2004-07-31,5.9327
2004-06-30,5.8816
2004-05-31,5.7154
2004-04-30,5.7026
2004-03-31,5.677
2004-02-29,5.4852
2004-01-31,5.4213
2003-12-31,5.5747
2003-11-30,5.5364
2003-10-31,5.6515
2003-09-30,5.5619
2003-08-31,5.6131
2003-07-31,5.5108
2003-06-30,5.2679
2003-05-31,5.4341
2003-04-30,5.5619
2003-03-31,5.856
2003-02-28,5.9967
2003-01-31,6.0606
2002-12-31,5.9072
2002-11-30,5.8049
2002-10-31,5.6642
2002-09-30,5.6387
2002-08-31,5.6515
2002-07-31,5.5619
2002-06-30,5.5236
2002-05-31,5.2423
2002-04-30,5.1656
2002-03-31,4.7436
2002-02-28,4.5646
2002-01-31,4.4879
2001-12-31,4.4112
2001-11-30,4.2833
2001-10-31,4.4751
2001-09-30,4.6541
2001-08-31,4.6669
2001-07-31,4.7053
2001-06-30,4.8076
2001-05-31,5.0505
2001-04-30,5.2167
2001-03-31,5.4085
2001-02-28,5.5747
2001-01-31,5.677
2000-12-31,5.7282
2000-11-30,6.1118
2000-10-31,5.9711
2000-09-30,5.8049
2000-08-31,5.9583
2000-07-31,5.9327
2000-06-30,6.0862
2000-05-31,5.9327
2000-04-30,5.7921
2000-03-31,5.7921
2000-02-29,5.741
2000-01-31,5.677
1999-12-31,5.6642
1999-11-30,5.4213
1999-10-31,5.4085
1999-09-30,5.3062
1999-08-31,5.1656
1999-07-31,5.2551
1999-06-30,5.1144
1999-05-31,5.0889
1999-04-30,5.1784
1999-03-31,5.0633
1999-02-28,4.8971
1999-01-31,4.8843
1998-12-31,4.9866
1998-11-30,5.1272
1998-10-31,5.2423
1998-09-30,5.6387
1998-08-31,5.8432
1998-07-31,5.6642
1998-06-30,5.7026
1998-05-31,5.7665
1998-04-30,5.5492
1998-03-31,5.7154
1998-02-28,5.7026
1998-01-31,5.6259
